111100027.bc,0.24026
111170028.bc,0.380952
111220003.bc,0
111220019.bc,0.356436
111220021.bc,0.333333
111220022.bc,0.292683
111220027.bc,0.406977
111220029.bc,0.306122
111220030.bc,0.3
111220039.bc,0.0204082
111220040.bc,0.3
111220041.bc,0.362637
111220042.bc,0.323232
111220043.bc,0.361446
111220044.bc,0.260504
111220047.bc,0.321101
111220049.bc,0.271186
111220050.bc,0.45
111220056.bc,0
111220064.bc,0.34
111220067.bc,0.41
111220068.bc,0.395349
111220073.bc,0.21875
111220078.bc,0.3875
111220079.bc,0.383838
111220080.bc,0.320312
111220088.bc,0.36
111220098.bc,0.260504
111220103.bc,0.287879
111220105.bc,0.492063
111220111.bc,0.274074
111220112.bc,0.376344
111220120.bc,0.267717
111220121.bc,0.402439
111220127.bc,0.0172414
111220128.bc,0.445946
111220130.bc,0.339623
111220153.bc,0.603774
111220160.bc,0.352273
111220165.bc,0.330097
111220171.bc,0.289062
111220173.bc,0.346939
111220174.bc,0.535354
121220007.bc,0.0625
121220068.bc,0.53125
121220079.bc,0.326923
121220092.bc,0.342593
121220132.bc,0.285714
p.bc,1
