111100027.bc,0.285714
111170028.bc,0.361702
111220003.bc,0.0327869
111220021.bc,0.291971
111220022.bc,0.246575
111220029.bc,0.28125
111220030.bc,0.368421
111220039.bc,0.0185185
111220040.bc,0.265306
111220041.bc,0.391304
111220042.bc,0.339623
111220043.bc,0.373494
111220044.bc,0.290076
111220047.bc,0.348624
111220049.bc,0.271318
111220050.bc,0.433333
111220054.bc,0.302326
111220056.bc,0.120482
111220059.bc,0.345588
111220064.bc,0.36
111220067.bc,0.310559
111220068.bc,0.357143
111220073.bc,0
111220075.bc,0.304688
111220078.bc,0.362637
111220079.bc,0.320896
111220080.bc,0.339744
111220088.bc,0.377358
111220097.bc,0.0697674
111220103.bc,0.450331
111220105.bc,0.444444
111220110.bc,0.3
111220111.bc,0.391608
111220112.bc,0.40625
111220120.bc,0.341317
111220121.bc,0.339286
111220127.bc,0.057971
111220130.bc,0.280822
111220160.bc,0.360825
111220165.bc,0.375
111220171.bc,0.384615
111220173.bc,0.330097
111220174.bc,0.361111
121160005.bc,0.310734
121220001.bc,0.314815
121220002.bc,0.380952
121220003.bc,0.289855
121220027.bc,0.368421
121220035.bc,0.449438
121220046.bc,0.123016
121220051.bc,0.321168
121220055.bc,0.5
121220068.bc,0.507042
121220076.bc,0.097561
121220077.bc,0.3125
121220079.bc,0.268657
121220083.bc,0.322368
121220086.bc,0.419355
121220092.bc,0.4
121220094.bc,0.428571
121220095.bc,0.3
121220116.bc,0.301724
121220117.bc,0
121220122.bc,1
121220129.bc,0.300813
121220130.bc,0.380952
121220132.bc,0.308824
121220139.bc,0.270677
121220140.bc,0.433735
121220144.bc,0.386792
121220148.bc,0.472973
121220155.bc,0.342593
121220156.bc,0.105263
121220157.bc,0.236842
121220307.bc,0.397849
121220313.bc,0.253731
121242067.bc,0.154639
131220019.bc,0.327586
131220049.bc,0.382979
131220054.bc,0.293103
131220057.bc,0.33913
131220064.bc,0.395833
131220070.bc,0.282051
131220071.bc,0.41129
131220088.bc,0.5
131220105.bc,0.290323
131220124.bc,0.343137
131220125.bc,0.261628
131220159.bc,0.201794
131220167.bc,0.171233
MG1433083.bc,0.272152
