111100027.bc,0.763441
111170028.bc,0.803571
111220003.bc,0.777778
111220019.bc,0.826667
111220022.bc,0.833333
111220027.bc,0.796875
111220029.bc,0.779221
111220030.bc,0.774648
111220040.bc,0.876289
111220041.bc,0.760563
111220042.bc,0.8
111220043.bc,0.826923
111220044.bc,0.886364
111220047.bc,0.860759
111220049.bc,0.8
111220050.bc,0.847458
111220056.bc,0.636364
111220064.bc,0.74
111220067.bc,0.797619
111220068.bc,0.972973
111220078.bc,0.918033
111220079.bc,0.84058
111220080.bc,0.831169
111220084.bc,0.861538
111220088.bc,0.68
111220089.bc,0.806452
111220097.bc,0.863636
111220098.bc,0.876923
111220103.bc,0.818182
111220105.bc,0.895833
111220111.bc,0.844156
111220112.bc,0.763158
111220120.bc,0.808219
111220121.bc,0.854839
111220125.bc,0.844828
111220127.bc,0.64
111220130.bc,0.848485
111220153.bc,0.849057
111220160.bc,0.80597
111220165.bc,0.848101
111220173.bc,0.873239
111220174.bc,0.941176
121160005.bc,0.833333
121220001.bc,0.919355
121220002.bc,0.873563
121220003.bc,0.814815
121220006.bc,0.873016
121220019.bc,0.939024
121220027.bc,0.918033
121220035.bc,0.859375
121220046.bc,0.727273
121220051.bc,0.777778
121220063.bc,0.811111
121220065.bc,1
121220068.bc,0.931818
121220077.bc,0.805195
121220079.bc,1
121220083.bc,0.829268
121220086.bc,0.909091
121220092.bc,0.864407
121220094.bc,0.787879
121220095.bc,0.907895
121220116.bc,0.863636
121220117.bc,0.8
121220119.bc,0.842105
121220129.bc,0.815789
121220130.bc,0.921569
121220132.bc,0.903226
121220134.bc,0.93617
121220139.bc,0.8
121220140.bc,0.819672
121220144.bc,0.810811
121220148.bc,0.925926
121220155.bc,0.833333
121220156.bc,0.833333
121220306.bc,0.851852
121220307.bc,0.88
121220313.bc,0.788889
131220019.bc,0.84507
131220049.bc,0.761905
131220054.bc,0.875
131220056.bc,0.815789
131220057.bc,0.851351
131220062.bc,0.861111
131220064.bc,0.894737
131220070.bc,0.652174
131220071.bc,0.863636
131220088.bc,0.872727
131220105.bc,0.895349
131220107.bc,0.811594
131220124.bc,0.923077
131220125.bc,0.782178
131220158.bc,0.986486
131220159_131220160.bc,0.784946
131220165.bc,0.87931
131220167.bc,0.771429
141250148.bc,0.804124
MG1433083.bc,0.755556
p.bc,1
