111100027.bc,1,0.574468,0.42623,0.467153,0.465753,0.75,0.492188,0.473684,0.259259,0.544218,0.641304,0.518868,0.578313,0.480916,0.669725,0.426357,0.577778,0.604651,0.409639,0.544118,0.54,0.496894,0.622449,0,0.5,0.593407,0.522388,0.50641,0.528302,0.348837,0.536424,0.555556,0.484615,0.524476,0.541667,0.508982,0.517857,0.347826,0.486301,0.65,0.608247,0.432692,0.524476,0.601942,0.555556
111170028.bc,0.452381,1,0.262295,0.459854,0.424658,0.676471,0.429688,0.403509,0.185185,0.408163,0.554348,0.490566,0.506024,0.419847,0.53211,0.426357,0.566667,0.511628,0.26506,0.544118,0.47,0.409938,0.520408,0,0.507812,0.494505,0.470149,0.442308,0.462264,0.372093,0.589404,0.541667,0.438462,0.475524,0.5,0.48503,0.464286,0.275362,0.445205,0.616667,0.474227,0.432692,0.475524,0.446602,0.509259
111220003.bc,0.190476,0.191489,1,0.131387,0.184932,0.205882,0.210938,0.149123,0.185185,0.285714,0.26087,0.169811,0.240964,0.229008,0.247706,0.139535,0.244444,0.248062,0.253012,0.301471,0.2,0.21118,0.204082,0,0.265625,0.131868,0.261194,0.217949,0.160377,0.372093,0.350993,0.111111,0.276923,0.251748,0.125,0.299401,0.196429,0.202899,0.178082,0.116667,0.185567,0.163462,0.251748,0.174757,0.277778
111220021.bc,0.460317,0.521277,0.278689,1,0.390411,0.691176,0.453125,0.45614,0.333333,0.442177,0.521739,0.509434,0.566265,0.48855,0.587156,0.449612,0.588889,0.457364,0.361446,0.551471,0.55,0.490683,0.520408,0,0.507812,0.549451,0.597015,0.49359,0.537736,0.418605,0.556291,0.638889,0.492308,0.524476,0.510417,0.592814,0.517857,0.362319,0.479452,0.7,0.536082,0.471154,0.524476,0.533981,0.490741
111220022.bc,0.52381,0.648936,0.393443,0.416058,1,0.75,0.492188,0.45614,0.37037,0.544218,0.608696,0.59434,0.626506,0.526718,0.605505,0.496124,0.577778,0.612403,0.385542,0.602941,0.59,0.490683,0.540816,0,0.585938,0.604396,0.604478,0.525641,0.566038,0.325581,0.596026,0.583333,0.546154,0.559441,0.53125,0.556886,0.598214,0.376812,0.445205,0.683333,0.546392,0.528846,0.559441,0.543689,0.592593
111220027.bc,0.428571,0.43617,0.278689,0.379562,0.363014,1,0.367188,0.324561,0.148148,0.428571,0.521739,0.443396,0.493976,0.381679,0.513761,0.356589,0.522222,0.426357,0.192771,0.470588,0.44,0.372671,0.489796,0,0.398438,0.472527,0.440299,0.397436,0.443396,0.302326,0.476821,0.486111,0.476923,0.398601,0.46875,0.437126,0.446429,0.217391,0.342466,0.616667,0.474227,0.432692,0.398601,0.427184,0.444444
111220029.bc,0.5,0.56383,0.393443,0.510949,0.445205,0.573529,1,0.429825,0.351852,0.47619,0.532609,0.481132,0.60241,0.519084,0.541284,0.51938,0.588889,0.472868,0.39759,0.514706,0.74,0.459627,0.571429,0,0.46875,0.571429,0.492537,0.487179,0.556604,0.348837,0.430464,0.583333,0.553846,0.496503,0.53125,0.45509,0.508929,0.391304,0.431507,0.7,0.525773,0.490385,0.496503,0.543689,0.509259
111220030.bc,0.452381,0.468085,0.327869,0.474453,0.445205,0.514706,0.460938,1,0.185185,0.496599,0.48913,0.462264,0.53012,0.450382,0.541284,0.418605,0.566667,0.55814,0.301205,0.551471,0.49,0.434783,0.520408,0,0.460938,0.505495,0.5,0.5,0.537736,0.27907,0.496689,0.569444,0.453846,0.559441,0.53125,0.467066,0.446429,0.304348,0.472603,0.65,0.56701,0.471154,0.559441,0.495146,0.509259
111220039.bc,0.126984,0.117021,0.295082,0.160584,0.150685,0.147059,0.148438,0.105263,1,0.136054,0.206522,0.160377,0.108434,0.152672,0.110092,0.170543,0.2,0.170543,0.192771,0.183824,0.22,0.149068,0.153061,0,0.1875,0.153846,0.164179,0.230769,0.207547,0.162791,0.139073,0.125,0.146154,0.153846,0.0833333,0.131737,0.214286,0.26087,0.157534,0.0833333,0.185567,0.125,0.153846,0.320388,0.231481
111220040.bc,0.515873,0.531915,0.491803,0.510949,0.541096,0.705882,0.46875,0.587719,0.240741,1,0.663043,0.613208,0.566265,0.580153,0.623853,0.44186,0.666667,0.604651,0.493976,0.647059,0.54,0.546584,0.612245,0,0.640625,0.615385,0.597015,0.596154,0.528302,0.581395,0.629139,0.597222,0.584615,0.58042,0.541667,0.670659,0.553571,0.434783,0.513699,0.716667,0.608247,0.5,0.58042,0.524272,0.583333
