111100027.bc,1,0.785714,0.777778,0.84,0.883333,0.828125,0.792208,0.84507,0.845361,0.859155,0.746667,0.826923,0.863636,0.886076,0.814286,0.881356,0.69697,0.77,0.845238,0.851351,0.901639,0.811594,0.87013,0.861538,0.76,0.887097,0.863636,0.861538,0.844156,0.854167,0.857143,0.776316,0.753425,0.903226,0.844828,0.68,0.826087,0.833333,0.886792,0.80597,0.78481,0.887324,0.882353,
111170028.bc,0.623656,1,0.444444,0.68,0.816667,0.75,0.649351,0.676056,0.680412,0.647887,0.76,0.673077,0.681818,0.670886,0.728571,0.762712,0.363636,0.61,0.654762,0.77027,0.819672,0.73913,0.792208,0.784615,0.64,0.83871,0.712121,0.769231,0.779221,0.833333,0.714286,0.657895,0.643836,0.790323,0.758621,0.48,0.782609,0.742424,0.811321,0.656716,0.696203,0.788732,0.764706,
111220003.bc,0.462366,0.410714,1,0.413333,0.483333,0.4375,0.480519,0.408451,0.57732,0.492958,0.52,0.403846,0.556818,0.518987,0.442857,0.440678,0.545455,0.46,0.47619,0.540541,0.47541,0.405797,0.441558,0.507692,0.84,0.516129,0.575758,0.476923,0.480519,0.4375,0.584416,0.434211,0.506849,0.5,0.448276,0.6,0.369565,0.393939,0.433962,0.522388,0.556962,0.464789,0.485294,
111220019.bc,0.83871,0.875,0.722222,1,0.866667,0.8125,0.87013,0.816901,0.85567,0.746479,0.853333,0.865385,0.897727,0.898734,0.785714,0.864407,0.636364,0.81,0.845238,0.864865,0.934426,0.797101,0.87013,0.892308,0.88,0.887097,0.863636,0.907692,0.87013,0.875,0.87013,0.75,0.808219,0.887097,0.844828,0.64,0.847826,0.848485,0.867925,0.835821,0.860759,0.887324,0.882353,
111220022.bc,0.731183,0.803571,0.638889,0.693333,1,0.75,0.74026,0.71831,0.773196,0.774648,0.773333,0.807692,0.75,0.708861,0.828571,0.830508,0.484848,0.68,0.785714,0.824324,0.868852,0.811594,0.87013,0.861538,0.68,0.854839,0.787879,0.815385,0.805195,0.895833,0.831169,0.723684,0.69863,0.870968,0.87931,0.52,0.847826,0.787879,0.830189,0.776119,0.708861,0.830986,0.838235,
111220027.bc,0.72043,0.785714,0.638889,0.733333,0.766667,1,0.636364,0.760563,0.793814,0.774648,0.88,0.769231,0.715909,0.746835,0.757143,0.79661,0.424242,0.62,0.702381,0.797297,0.737705,0.768116,0.857143,0.830769,0.64,0.806452,0.772727,0.8,0.792208,0.791667,0.766234,0.684211,0.726027,0.83871,0.775862,0.64,0.782609,0.787879,0.830189,0.686567,0.721519,0.732394,0.75,
111220029.bc,0.774194,0.785714,0.75,0.813333,0.866667,0.71875,1,0.802817,0.793814,0.760563,0.8,0.846154,0.806818,0.772152,0.814286,0.830508,0.666667,0.81,0.797619,0.878378,0.852459,0.811594,0.844156,0.876923,0.88,0.919355,0.924242,0.830769,0.818182,0.875,0.883117,0.789474,0.767123,0.887097,0.810345,0.6,0.913043,0.742424,0.849057,0.80597,0.746835,0.887324,0.852941,
111220030.bc,0.752688,0.803571,0.694444,0.813333,0.816667,0.828125,0.753247,1,0.835052,0.760563,0.773333,0.846154,0.795455,0.848101,0.771429,0.830508,0.515152,0.73,0.72619,0.851351,0.819672,0.826087,0.857143,0.923077,0.8,0.870968,0.878788,0.861538,0.818182,0.875,0.896104,0.789474,0.849315,0.935484,0.862069,0.6,0.869565,0.787879,0.886792,0.820896,0.746835,0.830986,0.838235,
111220040.bc,0.795699,0.803571,0.861111,0.786667,0.866667,0.90625,0.792208,0.873239,1,0.859155,0.906667,0.884615,0.852273,0.860759,0.785714,0.881356,0.666667,0.76,0.833333,0.864865,0.885246,0.84058,0.896104,0.923077,0.68,0.903226,0.848485,0.907692,0.87013,0.875,0.896104,0.723684,0.767123,0.935484,0.827586,0.6,0.869565,0.863636,0.867925,0.820896,0.848101,0.830986,0.911765,
111220041.bc,0.784946,0.767857,0.805556,0.706667,0.833333,0.828125,0.688312,0.746479,0.85567,1,0.813333,0.846154,0.784091,0.810127,0.785714,0.864407,0.575758,0.67,0.821429,0.797297,0.852459,0.782609,0.909091,0.907692,0.56,0.887097,0.818182,0.861538,0.857143,0.833333,0.831169,0.684211,0.767123,0.870968,0.810345,0.56,0.847826,0.818182,0.811321,0.791045,0.797468,0.802817,0.882353,
111220042.bc,0.677419,0.803571,0.583333,0.786667,0.833333,0.875,0.714286,0.774648,0.793814,0.816901,1,0.807692,0.795455,0.810127,0.728571,0.79661,0.575758,0.7,0.833333,0.783784,0.819672,0.782609,0.883117,0.830769,0.68,0.870968,0.742424,0.923077,0.805195,0.833333,0.896104,0.697368,0.69863,0.870968,0.793103,0.6,0.804348,0.80303,0.849057,0.716418,0.772152,0.690141,0.794118,
111220043.bc,0.677419,0.75,0.611111,0.706667,0.8,0.75,0.714286,0.760563,0.783505,0.746479,0.746667,1,0.738636,0.746835,0.7,0.847458,0.515152,0.67,0.738095,0.783784,0.819672,0.753623,0.844156,0.861538,0.56,0.83871,0.833333,0.784615,0.792208,0.75,0.753247,0.657895,0.794521,0.870968,0.827586,0.56,0.826087,0.787879,0.867925,0.776119,0.721519,0.816901,0.75,
111220044.bc,0.774194,0.767857,0.833333,0.826667,0.866667,0.875,0.779221,0.901408,0.907216,0.816901,0.866667,0.865385,1,0.886076,0.842857,0.864407,0.636364,0.76,0.833333,0.891892,0.885246,0.869565,0.922078,0.938462,0.84,0.887097,0.848485,0.830769,0.831169,0.875,0.896104,0.763158,0.808219,0.903226,0.810345,0.72,0.826087,0.833333,0.849057,0.820896,0.797468,0.859155,0.882353,
111220047.bc,0.784946,0.785714,0.777778,0.813333,0.833333,0.859375,0.701299,0.943662,0.865979,0.830986,0.866667,0.846154,0.886364,1,0.8,0.864407,0.69697,0.76,0.821429,0.905405,0.901639,0.84058,0.935065,0.938462,0.68,0.870968,0.893939,0.892308,0.87013,0.9375,0.922078,0.815789,0.753425,0.919355,0.862069,0.64,0.891304,0.878788,0.867925,0.895522,0.835443,0.816901,0.882353,
111220049.bc,0.731183,0.857143,0.638889,0.733333,0.916667,0.875,0.753247,0.84507,0.783505,0.802817,0.826667,0.788462,0.829545,0.835443,1,0.847458,0.666667,0.73,0.785714,0.891892,0.868852,0.855072,0.909091,0.861538,0.76,0.822581,0.772727,0.846154,0.779221,0.916667,0.896104,0.763158,0.794521,0.870968,0.862069,0.6,0.891304,0.80303,0.830189,0.701493,0.759494,0.859155,0.823529,
