111100027.bc,0.397849
111170028.bc,0.589286
111220003.bc,0
111220019.bc,0.44
111220022.bc,0.533333
111220027.bc,0.53125
111220029.bc,0.38961
111220030.bc,0.422535
111220040.bc,0.329897
111220041.bc,0.464789
111220042.bc,0.413333
111220043.bc,0.576923
111220044.bc,0.340909
111220047.bc,0.417722
111220049.bc,0.457143
111220050.bc,0.576271
111220056.bc,0
111220064.bc,0.34
111220067.bc,0.428571
111220068.bc,0.459459
111220078.bc,0.52459
111220079.bc,0.507246
111220080.bc,0.467532
111220084.bc,0.492308
111220088.bc,0
111220089.bc,0.516129
111220097.bc,0.5
111220098.bc,0.492308
111220103.bc,0.454545
111220105.bc,0.666667
111220111.bc,0.441558
111220112.bc,0.460526
111220120.bc,0.438356
111220121.bc,0.516129
111220125.bc,0.551724
111220127.bc,0
111220128.bc,0.717391
111220130.bc,0.515152
111220153.bc,0.584906
111220160.bc,0.477612
111220165.bc,0.43038
111220173.bc,0.464789
111220174.bc,0.558824
121220068.bc,0.820513
121220123.bc,0.523077
p.bc,1
