111100027.bc,1,0.589286,0.44,0.533333,0.546875,0.38961,0.43662,0.360825,0.507042,0.426667,0.576923,0.352273,0.43038,0.457143,0.576271,0.34,0.452381,0.472973,0.52459,0.536232,0.519481,0.507692,0.532258,0.5,0.507692,0.454545,0.666667,0.441558,0.460526,0.452055,0.516129,0.551724,0.717391,0.5,0.584906,0.477612,0.43038,0.478873,0.5
111170028.bc,0.387097,1,0.453333,0.55,0.515625,0.38961,0.422535,0.340206,0.478873,0.413333,0.576923,0.340909,0.443038,0.485714,0.59322,0.34,0.440476,0.445946,0.540984,0.507246,0.467532,0.492308,0.516129,0.484848,0.507692,0.467532,0.6875,0.454545,0.473684,0.438356,0.516129,0.568966,0.76087,0.515152,0.584906,0.507463,0.43038,0.450704,0.485294
111220019.bc,0.387097,0.607143,1,0.55,0.53125,0.415584,0.43662,0.340206,0.464789,0.426667,0.576923,0.363636,0.455696,0.485714,0.576271,0.35,0.488095,0.472973,0.590164,0.521739,0.493506,0.507692,0.516129,0.484848,0.507692,0.467532,0.708333,0.493506,0.486842,0.438356,0.516129,0.568966,0.76087,0.515152,0.603774,0.492537,0.443038,0.450704,0.5
111220022.bc,0.387097,0.607143,0.453333,1,0.515625,0.402597,0.43662,0.340206,0.478873,0.413333,0.576923,0.352273,0.443038,0.485714,0.59322,0.35,0.464286,0.459459,0.557377,0.521739,0.480519,0.492308,0.516129,0.484848,0.523077,0.467532,0.708333,0.467532,0.486842,0.438356,0.516129,0.586207,0.73913,0.515152,0.584906,0.492537,0.43038,0.450704,0.485294
111220027.bc,0.408602,0.589286,0.453333,0.533333,1,0.38961,0.43662,0.329897,0.478873,0.426667,0.576923,0.340909,0.43038,0.471429,0.576271,0.34,0.440476,0.472973,0.540984,0.521739,0.480519,0.538462,0.532258,0.5,0.492308,0.454545,0.6875,0.441558,0.460526,0.438356,0.516129,0.551724,0.717391,0.5,0.584906,0.477612,0.443038,0.464789,0.5
111220029.bc,0.354839,0.535714,0.426667,0.516667,0.484375,1,0.478873,0.309278,0.422535,0.413333,0.615385,0.386364,0.405063,0.471429,0.542373,0.46,0.464286,0.432432,0.508197,0.478261,0.506494,0.492308,0.5,0.469697,0.476923,0.38961,0.645833,0.441558,0.434211,0.424658,0.532258,0.534483,0.652174,0.454545,0.603774,0.462687,0.392405,0.43662,0.470588
111220030.bc,0.365591,0.535714,0.413333,0.516667,0.5,0.428571,1,0.309278,0.422535,0.426667,0.634615,0.431818,0.455696,0.457143,0.542373,0.33,0.440476,0.432432,0.508197,0.492754,0.506494,0.507692,0.532258,0.469697,0.476923,0.38961,0.645833,0.441558,0.447368,0.438356,0.532258,0.534483,0.652174,0.469697,0.603774,0.462687,0.392405,0.43662,0.455882
111220040.bc,0.408602,0.607143,0.453333,0.55,0.515625,0.38961,0.422535,1,0.507042,0.453333,0.576923,0.352273,0.43038,0.471429,0.59322,0.34,0.47619,0.486486,0.540984,0.536232,0.519481,0.538462,0.516129,0.484848,0.523077,0.480519,0.6875,0.454545,0.5,0.452055,0.548387,0.586207,0.73913,0.530303,0.603774,0.492537,0.443038,0.450704,0.5
111220041.bc,0.408602,0.607143,0.44,0.55,0.53125,0.38961,0.422535,0.371134,1,0.413333,0.576923,0.340909,0.43038,0.471429,0.59322,0.34,0.452381,0.472973,0.540984,0.536232,0.532468,0.553846,0.516129,0.484848,0.523077,0.467532,0.6875,0.454545,0.473684,0.452055,0.516129,0.568966,0.73913,0.545455,0.584906,0.492537,0.43038,0.450704,0.529412
111220042.bc,0.387097,0.571429,0.44,0.516667,0.515625,0.402597,0.450704,0.340206,0.450704,1,0.615385,0.397727,0.443038,0.442857,0.559322,0.35,0.428571,0.432432,0.52459,0.550725,0.493506,0.523077,0.548387,0.469697,0.492308,0.441558,0.666667,0.428571,0.447368,0.465753,0.548387,0.534483,0.695652,0.484848,0.622642,0.462687,0.43038,0.43662,0.470588
