111100027.bc,1,0.678571,0.444444,0.613333,0.75,0.65625,0.584416,0.577465,0.587629,0.661972,0.546667,0.653846,0.522727,0.607595,0.542857,0.694915,0.272727,0.53,0.642857,0.662162,0.754098,0.652174,0.649351,0.738462,0.24,0.693548,0.69697,0.615385,0.636364,0.75,0.649351,0.592105,0.643836,0.709677,0.706897,0.24,0.804348,0.636364,0.716981,0.656716,0.620253,0.647887,0.735294,
111170028.bc,0.462366,1,0.194444,0.506667,0.7,0.59375,0.467532,0.492958,0.463918,0.56338,0.493333,0.615385,0.443182,0.556962,0.542857,0.644068,0.030303,0.43,0.535714,0.567568,0.672131,0.608696,0.545455,0.661538,0.08,0.612903,0.575758,0.6,0.519481,0.708333,0.532468,0.539474,0.520548,0.629032,0.62069,0.12,0.76087,0.545455,0.679245,0.567164,0.481013,0.521127,0.544118,
111220003.bc,0.129032,0.178571,1,0.16,0.233333,0.125,0.168831,0.15493,0.247423,0.211268,0.12,0.192308,0.181818,0.189873,0.157143,0.220339,0.181818,0.16,0.178571,0.243243,0.213115,0.144928,0.194805,0.230769,0.2,0.258065,0.272727,0.107692,0.220779,0.125,0.168831,0.144737,0.164384,0.209677,0.206897,0.16,0.130435,0.136364,0.150943,0.253731,0.240506,0.197183,0.205882,
111220019.bc,0.55914,0.678571,0.305556,1,0.716667,0.609375,0.584416,0.535211,0.505155,0.605634,0.546667,0.634615,0.579545,0.658228,0.6,0.694915,0.333333,0.5,0.607143,0.621622,0.721311,0.637681,0.61039,0.692308,0.2,0.66129,0.69697,0.661538,0.584416,0.833333,0.649351,0.618421,0.60274,0.709677,0.655172,0.24,0.826087,0.575758,0.716981,0.626866,0.607595,0.591549,0.602941,
111220022.bc,0.505376,0.732143,0.277778,0.52,1,0.5625,0.532468,0.549296,0.443299,0.605634,0.533333,0.653846,0.511364,0.544304,0.571429,0.661017,0.181818,0.5,0.583333,0.567568,0.688525,0.637681,0.649351,0.661538,0.28,0.693548,0.560606,0.615385,0.545455,0.770833,0.61039,0.578947,0.616438,0.709677,0.672414,0.16,0.804348,0.560606,0.698113,0.567164,0.506329,0.507042,0.602941,
111220027.bc,0.473118,0.660714,0.194444,0.506667,0.616667,1,0.441558,0.521127,0.484536,0.549296,0.56,0.653846,0.511364,0.56962,0.542857,0.644068,0.030303,0.39,0.559524,0.608108,0.590164,0.666667,0.649351,0.738462,0.12,0.612903,0.560606,0.584615,0.558442,0.708333,0.558442,0.592105,0.547945,0.677419,0.603448,0.16,0.73913,0.560606,0.716981,0.537313,0.493671,0.549296,0.573529,
111220029.bc,0.516129,0.660714,0.388889,0.586667,0.733333,0.59375,1,0.591549,0.515464,0.56338,0.48,0.788462,0.511364,0.56962,0.585714,0.644068,0.272727,0.67,0.678571,0.581081,0.688525,0.57971,0.545455,0.753846,0.28,0.693548,0.69697,0.584615,0.532468,0.729167,0.688312,0.578947,0.60274,0.741935,0.637931,0.28,0.73913,0.575758,0.754717,0.656716,0.506329,0.647887,0.617647,
111220030.bc,0.483871,0.607143,0.333333,0.506667,0.7,0.59375,0.519481,1,0.484536,0.56338,0.56,0.730769,0.590909,0.607595,0.542857,0.59322,0.212121,0.44,0.535714,0.608108,0.590164,0.57971,0.584416,0.692308,0.36,0.709677,0.651515,0.615385,0.545455,0.791667,0.662338,0.565789,0.589041,0.693548,0.62069,0.16,0.717391,0.515152,0.698113,0.641791,0.455696,0.521127,0.5,
111220040.bc,0.580645,0.714286,0.527778,0.56,0.683333,0.671875,0.558442,0.619718,1,0.690141,0.64,0.730769,0.556818,0.658228,0.514286,0.694915,0.333333,0.51,0.630952,0.662162,0.688525,0.652174,0.636364,0.769231,0.36,0.693548,0.666667,0.676923,0.597403,0.75,0.688312,0.578947,0.561644,0.693548,0.724138,0.16,0.76087,0.69697,0.754717,0.656716,0.620253,0.56338,0.676471,
111220041.bc,0.483871,0.678571,0.388889,0.546667,0.683333,0.640625,0.480519,0.549296,0.587629,1,0.546667,0.673077,0.488636,0.544304,0.528571,0.661017,0.121212,0.44,0.630952,0.581081,0.721311,0.637681,0.623377,0.738462,0.12,0.709677,0.636364,0.615385,0.571429,0.708333,0.584416,0.578947,0.547945,0.709677,0.689655,0.08,0.73913,0.590909,0.735849,0.671642,0.56962,0.535211,0.691176,
